TREE_COLORS
SEPARATOR TAB
DATA
165	range	#00493E	Gammaproteobacteria
166	range	#00493E	Gammaproteobacteria
167	range	#00493E	Gammaproteobacteria
168	range	#00493E	Gammaproteobacteria
169	range	#00493E	Gammaproteobacteria
170	range	#00493E	Gammaproteobacteria
171	range	#00493E	Gammaproteobacteria
172	range	#00493E	Gammaproteobacteria
173	range	#00493E	Gammaproteobacteria
174	range	#00493E	Gammaproteobacteria
175	range	#00493E	Gammaproteobacteria
176	range	#00493E	Gammaproteobacteria
177	range	#00493E	Gammaproteobacteria
178	range	#00493E	Gammaproteobacteria
179	range	#00493E	Gammaproteobacteria
180	range	#00493E	Gammaproteobacteria
181	range	#00493E	Gammaproteobacteria
182	range	#00493E	Gammaproteobacteria
183	range	#00493E	Gammaproteobacteria
184	range	#00493E	Gammaproteobacteria
185	range	#00493E	Gammaproteobacteria
186	range	#00493E	Gammaproteobacteria
187	range	#00493E	Gammaproteobacteria
188	range	#00493E	Gammaproteobacteria
189	range	#00493E	Gammaproteobacteria
190	range	#00493E	Gammaproteobacteria
191	range	#00493E	Gammaproteobacteria
192	range	#00493E	Gammaproteobacteria
193	range	#00493E	Gammaproteobacteria
194	range	#00493E	Gammaproteobacteria
195	range	#00493E	Gammaproteobacteria
196	range	#00493E	Gammaproteobacteria
197	range	#00493E	Gammaproteobacteria
198	range	#00493E	Gammaproteobacteria
199	range	#00493E	Gammaproteobacteria
200	range	#00574D	Hydrogenophilalia
201	range	#00645C	Oligoflexia
202	range	#20847C	Epsilonproteobacteria
203	range	#20847C	Epsilonproteobacteria
204	range	#20847C	Epsilonproteobacteria
205	range	#20847C	Epsilonproteobacteria
206	range	#20847C	Epsilonproteobacteria
207	range	#20847C	Epsilonproteobacteria
208	range	#20847C	Epsilonproteobacteria
209	range	#20847C	Epsilonproteobacteria
210	range	#31938B	Spirochaetia
211	range	#31938B	Spirochaetia
212	range	#BDE6E0	Ardenticatenia
213	range	#EBD6A3	Deinococci
214	range	#EBD6A3	Deinococci
215	range	#E4CA8C	Bacilli
216	range	#DBBB75	Clostridia
217	range	#DBBB75	Clostridia
218	range	#DBBB75	Clostridia
219	range	#C79141	Negativicutes
220	range	#C79141	Negativicutes
221	range	#8A4F09	unclassified Bacteria 
