TREE_COLORS
SEPARATOR TAB
DATA
167	range	#48A49B	Actinobacteria
168	range	#48A49B	Actinobacteria
169	range	#48A49B	Actinobacteria
170	range	#48A49B	Actinobacteria
171	range	#48A49B	Actinobacteria
172	range	#48A49B	Actinobacteria
173	range	#48A49B	Actinobacteria
174	range	#48A49B	Actinobacteria
175	range	#48A49B	Actinobacteria
176	range	#48A49B	Actinobacteria
177	range	#48A49B	Actinobacteria
178	range	#48A49B	Actinobacteria
179	range	#48A49B	Actinobacteria
180	range	#48A49B	Actinobacteria
181	range	#48A49B	Actinobacteria
182	range	#48A49B	Actinobacteria
183	range	#48A49B	Actinobacteria
184	range	#48A49B	Actinobacteria
185	range	#48A49B	Actinobacteria
186	range	#48A49B	Actinobacteria
187	range	#48A49B	Actinobacteria
188	range	#48A49B	Actinobacteria
189	range	#48A49B	Actinobacteria
190	range	#48A49B	Actinobacteria
191	range	#48A49B	Actinobacteria
192	range	#48A49B	Actinobacteria
193	range	#48A49B	Actinobacteria
194	range	#48A49B	Actinobacteria
195	range	#48A49B	Actinobacteria
196	range	#48A49B	Actinobacteria
197	range	#48A49B	Actinobacteria
198	range	#48A49B	Actinobacteria
199	range	#48A49B	Actinobacteria
200	range	#48A49B	Actinobacteria
201	range	#48A49B	Actinobacteria
202	range	#48A49B	Actinobacteria
203	range	#48A49B	Actinobacteria
204	range	#48A49B	Actinobacteria
205	range	#48A49B	Actinobacteria
206	range	#48A49B	Actinobacteria
207	range	#48A49B	Actinobacteria
208	range	#48A49B	Actinobacteria
209	range	#48A49B	Actinobacteria
210	range	#48A49B	Actinobacteria
211	range	#48A49B	Actinobacteria
212	range	#48A49B	Actinobacteria
213	range	#48A49B	Actinobacteria
214	range	#48A49B	Actinobacteria
215	range	#48A49B	Actinobacteria
216	range	#48A49B	Actinobacteria
217	range	#48A49B	Actinobacteria
218	range	#48A49B	Actinobacteria
219	range	#48A49B	Actinobacteria
220	range	#48A49B	Actinobacteria
221	range	#48A49B	Actinobacteria
222	range	#48A49B	Actinobacteria
223	range	#48A49B	Actinobacteria
224	range	#48A49B	Actinobacteria
225	range	#48A49B	Actinobacteria
226	range	#48A49B	Actinobacteria
227	range	#48A49B	Actinobacteria
228	range	#48A49B	Actinobacteria
229	range	#48A49B	Actinobacteria
230	range	#48A49B	Actinobacteria
231	range	#48A49B	Actinobacteria
232	range	#48A49B	Actinobacteria
233	range	#48A49B	Actinobacteria
234	range	#48A49B	Actinobacteria
235	range	#48A49B	Actinobacteria
236	range	#48A49B	Actinobacteria
237	range	#48A49B	Actinobacteria
238	range	#48A49B	Actinobacteria
239	range	#48A49B	Actinobacteria
240	range	#48A49B	Actinobacteria
241	range	#60B6AC	Coriobacteriia
242	range	#78C7BC	Rubrobacteria
243	range	#78C7BC	Rubrobacteria
244	range	#48A49B	Actinobacteria
245	range	#48A49B	Actinobacteria
246	range	#F5F2EC	unclassified Chloroflexi
247	range	#EBD6A3	Deinococci
248	range	#EBD6A3	Deinococci
249	range	#EBD6A3	Deinococci
250	range	#E4CA8C	Bacilli
251	range	#E4CA8C	Bacilli
252	range	#E4CA8C	Bacilli
253	range	#E4CA8C	Bacilli
254	range	#E4CA8C	Bacilli
255	range	#E4CA8C	Bacilli
256	range	#E4CA8C	Bacilli
257	range	#E4CA8C	Bacilli
258	range	#E4CA8C	Bacilli
259	range	#E4CA8C	Bacilli
260	range	#E4CA8C	Bacilli
261	range	#E4CA8C	Bacilli
262	range	#E4CA8C	Bacilli
263	range	#E4CA8C	Bacilli
264	range	#E4CA8C	Bacilli
265	range	#E4CA8C	Bacilli
266	range	#E4CA8C	Bacilli
267	range	#E4CA8C	Bacilli
268	range	#E4CA8C	Bacilli
269	range	#E4CA8C	Bacilli
270	range	#E4CA8C	Bacilli
271	range	#E4CA8C	Bacilli
272	range	#E4CA8C	Bacilli
273	range	#E4CA8C	Bacilli
274	range	#E4CA8C	Bacilli
275	range	#E4CA8C	Bacilli
276	range	#E4CA8C	Bacilli
277	range	#E4CA8C	Bacilli
278	range	#E4CA8C	Bacilli
279	range	#E4CA8C	Bacilli
280	range	#E4CA8C	Bacilli
281	range	#E4CA8C	Bacilli
282	range	#E4CA8C	Bacilli
283	range	#E4CA8C	Bacilli
284	range	#E4CA8C	Bacilli
285	range	#E4CA8C	Bacilli
286	range	#E4CA8C	Bacilli
287	range	#E4CA8C	Bacilli
288	range	#E4CA8C	Bacilli
289	range	#E4CA8C	Bacilli
290	range	#E4CA8C	Bacilli
291	range	#E4CA8C	Bacilli
292	range	#E4CA8C	Bacilli
293	range	#E4CA8C	Bacilli
294	range	#E4CA8C	Bacilli
295	range	#E4CA8C	Bacilli
296	range	#E4CA8C	Bacilli
297	range	#DBBB75	Clostridia
298	range	#DBBB75	Clostridia
299	range	#DBBB75	Clostridia
300	range	#DBBB75	Clostridia
301	range	#C79141	Negativicutes
302	range	#C79141	Negativicutes
303	range	#C79141	Negativicutes
304	range	#C79141	Negativicutes
305	range	#C79141	Negativicutes
306	range	#C79141	Negativicutes
307	range	#C79141	Negativicutes
308	range	#9A5E14	Bacteria candidate phyla
309	range	#9A5E14	Bacteria candidate phyla
310	range	#9A5E14	Bacteria candidate phyla
311	range	#784508	Metazoa
312	range	#663A06	prokaryotic environmental samples
313	range	#543005	ecological metagenomes
