TREE_COLORS
SEPARATOR TAB
DATA
170	range	#EFDCAE	Proteobacteria
171	range	#EFDCAE	Proteobacteria
172	range	#EFDCAE	Proteobacteria
173	range	#EFDCAE	Proteobacteria
174	range	#EFDCAE	Proteobacteria
175	range	#EFDCAE	Proteobacteria
176	range	#EFDCAE	Proteobacteria
177	range	#EFDCAE	Proteobacteria
178	range	#EFDCAE	Proteobacteria
179	range	#EFDCAE	Proteobacteria
180	range	#EFDCAE	Proteobacteria
181	range	#EFDCAE	Proteobacteria
182	range	#EFDCAE	Proteobacteria
183	range	#EFDCAE	Proteobacteria
184	range	#EFDCAE	Proteobacteria
185	range	#EFDCAE	Proteobacteria
186	range	#EFDCAE	Proteobacteria
187	range	#EFDCAE	Proteobacteria
188	range	#EFDCAE	Proteobacteria
189	range	#EFDCAE	Proteobacteria
190	range	#EFDCAE	Proteobacteria
191	range	#EFDCAE	Proteobacteria
192	range	#EFDCAE	Proteobacteria
193	range	#EFDCAE	Proteobacteria
194	range	#EFDCAE	Proteobacteria
195	range	#EFDCAE	Proteobacteria
196	range	#EFDCAE	Proteobacteria
197	range	#EFDCAE	Proteobacteria
198	range	#EFDCAE	Proteobacteria
199	range	#EFDCAE	Proteobacteria
200	range	#EFDCAE	Proteobacteria
201	range	#EFDCAE	Proteobacteria
202	range	#EFDCAE	Proteobacteria
203	range	#EFDCAE	Proteobacteria
204	range	#EFDCAE	Proteobacteria
205	range	#EFDCAE	Proteobacteria
206	range	#EFDCAE	Proteobacteria
207	range	#003C30	Spirochaetes
208	range	#003C30	Spirochaetes
209	range	#003C30	Spirochaetes
210	range	#003C30	Spirochaetes
211	range	#003C30	Spirochaetes
212	range	#003C30	Spirochaetes
213	range	#003C30	Spirochaetes
214	range	#003C30	Spirochaetes
215	range	#003C30	Spirochaetes
216	range	#003C30	Spirochaetes
217	range	#003C30	Spirochaetes
218	range	#003C30	Spirochaetes
219	range	#003C30	Spirochaetes
220	range	#003C30	Spirochaetes
221	range	#00493E	Actinobacteria
222	range	#00493E	Actinobacteria
223	range	#00493E	Actinobacteria
224	range	#00493E	Actinobacteria
225	range	#00493E	Actinobacteria
226	range	#00493E	Actinobacteria
227	range	#00493E	Actinobacteria
228	range	#00493E	Actinobacteria
229	range	#00493E	Actinobacteria
230	range	#00493E	Actinobacteria
231	range	#00493E	Actinobacteria
232	range	#00493E	Actinobacteria
233	range	#00493E	Actinobacteria
234	range	#00493E	Actinobacteria
235	range	#00493E	Actinobacteria
236	range	#00493E	Actinobacteria
237	range	#00493E	Actinobacteria
238	range	#00493E	Actinobacteria
239	range	#00493E	Actinobacteria
240	range	#00493E	Actinobacteria
241	range	#00493E	Actinobacteria
242	range	#00493E	Actinobacteria
243	range	#00493E	Actinobacteria
244	range	#00493E	Actinobacteria
245	range	#00493E	Actinobacteria
246	range	#00493E	Actinobacteria
247	range	#00493E	Actinobacteria
248	range	#00493E	Actinobacteria
249	range	#00493E	Actinobacteria
250	range	#00493E	Actinobacteria
251	range	#00493E	Actinobacteria
